UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MG;FUNILANDIA;1583;834;0;69;4;144;37;0;29;2;382;22;30;0;26;1;0;0;0;0;1;2
SP;GABRIEL MONTEIRO;1891;1012;0;63;22;259;52;0;0;7;319;53;15;0;61;23;0;0;0;0;2;3
PB;GADO BRAVO;1215;512;0;60;0;89;23;0;0;38;452;12;21;0;4;1;0;0;0;0;0;3
SP;GALIA;3958;2329;0;162;43;363;140;0;5;34;604;68;54;0;87;51;1;0;0;0;0;17
MG;GALILEIA;1993;948;0;86;5;182;40;0;12;9;610;22;13;0;55;3;0;0;0;0;0;8
RN;GALINHOS;346;163;0;17;2;38;7;0;1;4;78;0;4;0;9;2;0;0;0;0;0;21
SC;GALVAO;2295;1310;0;133;9;310;55;0;0;9;367;25;16;0;23;13;0;1;0;0;1;23
PE;GAMELEIRA;3560;1606;0;91;1;163;71;0;123;21;1179;93;70;0;129;2;0;0;0;0;2;9
GO;GAMELEIRA DE GOIAS;1261;555;0;43;27;227;19;0;0;3;280;15;18;0;35;35;0;0;0;0;0;4
MG;GAMELEIRAS;1670;451;0;38;0;194;13;0;3;7;890;44;21;0;7;0;0;0;0;0;0;2
BA;GANDU;11298;4347;0;350;16;997;506;0;5;257;4046;539;40;0;93;22;0;22;0;0;12;46
PE;GARANHUNS;59609;28312;0;1790;244;4210;1130;0;569;335;18087;2874;153;0;681;643;1;0;0;0;18;562
SE;GARARU;2265;544;0;57;0;125;21;0;5;16;1370;68;31;0;26;0;0;0;0;0;0;2
SP;GARCA;30820;17533;0;816;118;2032;1058;2;137;105;6664;1332;122;1;584;144;2;1;0;2;7;160
RS;GARIBALDI;29383;16344;0;1703;899;2828;1287;0;29;97;2730;951;146;0;733;1006;0;19;1;34;3;573
SC;GAROPABA;21062;10479;0;342;49;1902;1245;0;8;36;3894;1478;72;2;609;58;5;60;0;4;8;811
PA;GARRAFAO DO NORTE;2331;881;0;161;3;276;24;0;1;9;816;94;28;0;27;3;0;0;0;0;0;8
RS;GARRUCHOS;1329;655;0;69;5;176;19;0;0;8;320;15;18;0;36;6;0;0;0;0;0;2
SC;GARUVA;12320;6743;0;605;350;1021;400;0;5;31;1722;297;55;0;481;445;0;18;0;28;4;115
SC;GASPAR;52448;29149;0;1546;370;4632;2218;0;14;90;8797;2680;85;1;1215;473;1;43;1;107;50;976
SP;GASTAO VIDIGAL;2425;1420;0;80;7;200;48;0;2;8;458;44;66;0;77;11;0;0;0;0;0;4
MT;GAUCHA DO NORTE;3848;792;0;224;119;819;127;0;3;7;1037;333;40;0;98;202;0;1;0;0;2;44
RS;GAURAMA;4789;2730;0;256;32;609;150;0;2;31;716;102;16;0;66;36;0;1;0;0;0;42
BA;GAVIAO;1008;358;0;33;0;99;19;0;0;21;430;14;11;0;21;1;0;0;0;0;0;1
SP;GAVIAO PEIXOTO;2212;1460;0;69;15;238;75;0;0;16;192;11;32;0;76;20;0;0;0;0;1;7
PI;GEMINIANO;2022;462;0;42;0;114;24;0;0;16;1195;136;12;0;14;2;0;0;0;1;2;2
RS;GENERAL CAMARA;4477;2658;0;130;16;344;138;1;2;13;796;99;34;0;201;19;0;5;0;9;2;10
MT;GENERAL CARNEIRO;1014;301;0;42;10;163;23;0;0;7;268;108;11;0;51;22;0;0;0;0;0;8
PR;GENERAL CARNEIRO;7176;4244;0;525;74;971;262;0;3;56;620;90;113;0;119;74;0;3;0;2;0;20
